deposit_name,country,latitude,longitude,key_REEs,grade_pct
Mountain Pass,USA,35.589,-115.406,"Nd;Pr;La;Ce",8.1
Bayan Obo,China,41.354,109.278,"La;Ce;Nd",5.7
Mount Weld,Australia,-25.309,123.274,"Nd;Pr;Ce",4.9
Norra Karr,Sweden,57.282,14.504,"Ce;La;Nd",1.5
